shape_id,distance_km,pack_used_kwh_heavy_duty,pack_used_kwh_medium_duty,kwh_per_km_heavy_duty,kwh_per_km_medium_duty,route_id,route_short_name,route_long_name,route_direction
307514,7.723541220904004,20.174549746539018,12.694534006021483,2.602777474474063,1.6436157512389953,6633,041,Joyce Station/Crown,WEST
307515,7.167476789029291,18.330858384408725,11.384985276131527,2.560087168098825,1.5884230408053297,6633,041,Joyce Station/Crown,WEST
307518,12.023992765057503,23.610015070378836,15.07998751720572,1.9664325009465118,1.2541580664477057,6635,044,UBC/Downtown,EAST
307519,21.907550236801416,42.45099279684315,27.649283015054937,1.9353961925472487,1.2620892211219612,6635,044,UBC/Downtown,EAST
307520,11.948848590928854,30.1337451678182,20.925304232871834,2.5311234938047633,1.7512402198114376,6635,044,UBC/Downtown,WEST
307521,21.23785799298054,47.206648081672355,32.791087563593635,2.2301738180114787,1.5439922224939835,6635,044,UBC/Downtown,WEST
307522,10.401352550760457,28.491921493769343,19.062132595919994,2.740790806136791,1.8326590222659394,6636,049,Metrotown Station/Dunbar Loop/UBC,EAST
307525,14.256314476700853,41.00184375655687,27.97422256372972,2.8686709745042007,1.9622338304509273,6636,049,Metrotown Station/Dunbar Loop/UBC,EAST
307526,14.348585068405312,40.75660124298482,,2.8404613450512493,,6636,049,Metrotown Station/Dunbar Loop/UBC,EAST
307527,21.035685130058855,50.21297360013925,33.72211546015307,2.380447502193236,1.603090902514318,6636,049,Metrotown Station/Dunbar Loop/UBC,EAST
307534,11.369925570676209,26.252137368154003,16.23996715657497,2.2956909672499393,1.4283266021071344,6636,049,Metrotown Station/Dunbar Loop/UBC,WEST
307535,21.995448715425656,48.28097450004864,31.46406928331407,2.1909278714999347,1.4304809004077268,6636,049,Metrotown Station/Dunbar Loop/UBC,WEST
307537,6.839475582312174,17.505545968881425,11.371243085754044,2.5497443806850724,1.6625899089634364,6637,050,Waterfront Station/False Creek South,NORTH
307538,8.100043544879448,20.381381676254136,12.783111802238158,2.510551392299051,1.5781534668809498,6637,050,Waterfront Station/False Creek South,NORTH
307539,7.0710082822171465,19.233399347913977,12.004247441502852,2.697447471270187,1.6976712460784822,6637,050,Waterfront Station/False Creek South,SOUTH
307540,6.961641289169696,18.488414990503188,11.644768128342616,2.6286660744857024,1.6727044161925597,6637,050,Waterfront Station/False Creek South,SOUTH
307541,7.0764502480283245,19.233399347913977,11.809729050810887,2.697447471270187,1.6688775638748217,6637,050,Waterfront Station/False Creek South,SOUTH
307542,6.985708158762613,18.488414990503188,11.745677333831619,2.6286660744857024,1.6813867781032734,6637,050,Waterfront Station/False Creek South,SOUTH
307543,7.072600855669913,19.233399347913977,11.965448579135542,2.697447471270187,1.69180317443521,6637,050,Waterfront Station/False Creek South,SOUTH
307544,6.980078804225487,18.488414990503188,11.623204822844952,2.6286660744857024,1.66519679058762,6637,050,Waterfront Station/False Creek South,SOUTH
307545,6.587463148297561,12.489378906153576,8.354218552983317,1.8978788379840916,1.268199664258061,33538,068,UBC Exchange/Wesbrook Village,NORTH
307546,5.571616056841445,10.041453327249558,6.7299480044442666,1.8036657989087568,1.2078987381372939,33538,068,UBC Exchange/Wesbrook Village,SOUTH
307547,6.9571110698566905,14.662516525147332,9.901519277385612,2.1058045712596565,1.4232228259638195,45596,080,Marine Dr Station/River District,EAST
307548,7.267459321822452,15.138782911592623,9.928706847917928,2.0804671264733865,1.3661867797600713,45596,080,Marine Dr Station/River District,WEST
307549,13.623150177075765,27.000678029843737,16.620707526382827,1.9723347258204293,1.2200340824511482,6638,084,UBC/VCC-Clark Station,EAST
307550,13.552325660880284,34.27844131223074,23.596916450113568,2.5460550107018705,1.7411710019799542,6638,084,UBC/VCC-Clark Station,WEST
307551,16.82548119676178,34.99468062603978,21.673065364659877,2.0680333521591874,1.2881096897740472,6641,099,Commercial-Broadway/UBC (B-Line),EAST
307552,13.675740280383206,29.351519664717404,18.011751271182213,2.144101673623285,1.3170585944088657,6641,099,Commercial-Broadway/UBC (B-Line),EAST
307553,16.868461885891563,34.99468062603978,22.07617900714985,2.0680333521591874,1.308725072652529,6641,099,Commercial-Broadway/UBC (B-Line),EAST
307554,8.812413681734617,24.03156183901767,15.54822019840211,2.7203572717119,1.76435432560647,6641,099,Commercial-Broadway/UBC (B-Line),EAST
307555,13.674886528773914,29.351519664717404,18.544587344040156,2.144101673623285,1.3561053910772638,6641,099,Commercial-Broadway/UBC (B-Line),EAST
307556,12.362991385796937,30.800619326239733,19.328334764728375,2.4851819616053477,1.5634027527458672,6641,099,Commercial-Broadway/UBC (B-Line),WEST
307557,16.844691010329797,41.92718740143418,27.336313445942533,2.4875351682411417,1.6228444575907555,6641,099,Commercial-Broadway/UBC (B-Line),WEST
307558,13.89540468567169,35.35726853716694,23.463414537314254,2.54068869457829,1.6885736736770727,6641,099,Commercial-Broadway/UBC (B-Line),WEST
307559,15.227841125530002,36.55242022157,24.64099421841486,2.396246985388759,1.618154143800685,6642,100,22nd St Station/Marpole Loop,EAST
307560,14.93796667493267,35.560838499183724,24.041678395300387,2.374461627433611,1.609434464440506,6642,100,22nd St Station/Marpole Loop,EAST
307563,17.352162392323294,36.4399550609075,,2.1000238608318216,,6642,100,22nd St Station/Marpole Loop,WEST
307564,16.441936879137824,34.3192856199626,22.460530374138635,2.081823298855034,1.366051368475781,6642,100,22nd St Station/Marpole Loop,WEST
307565,17.664149300723437,37.77317166319022,,2.1384087634292817,,6642,100,22nd St Station/Marpole Loop,WEST
307566,16.770498091740553,35.668766155072845,23.022459446087815,2.1235628667234083,1.37279520978726,6642,100,22nd St Station/Marpole Loop,WEST
307567,11.38626908338811,26.743692863892974,17.630096928481787,2.3394738215053614,1.54836468375783,6643,101,Lougheed Station/22nd St Station,EAST
