block_id,line_group,block_number,service_id,service_day,depot_code,asset_class,asset_class_new,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,avg_kwh_per_km_medium,avg_kwh_per_km_heavy,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,medium_success_on_route_charge,soc_left_heavy_percent_on_route_charge,heavy_success_on_route_charge,total_energy_received_medium,total_energy_received_heavy
2162510,601,46,3,SUN,RTC,DS40SD,40-ft,507.9381932686436,627.955777173097,866.95956150056,1.2362838343226874,1.706820973476262,-21.339676803740595,-63.71623430860992,FAILURE,FAILURE,62.58875140366158,SUCCESS,45.391788291937374,SUCCESS,473.3563350897484,615.3692474670866
2162511,601,41,3,SUN,RTC,DS40SD,40-ft,423.7683088377621,522.4993946876318,719.0940739289449,1.232983646466278,1.6969038480039975,-2.6417366467432264,-37.49894927818171,FAILURE,FAILURE,47.56467521131513,SUCCESS,17.88808615881101,FAILURE,283.16416287944924,312.3828798646389
2162512,601,42,3,SUN,RTC,DS40SD,40-ft,606.5839527059057,750.4823159682855,1034.9532084795605,1.2372274482707046,1.7061994532871265,-43.064240419908785,-93.50234192900008,FAILURE,FAILURE,50.47938231005358,SUCCESS,-22.724729248059557,FAILURE,527.5860321969878,399.1857355205045
2162513,601,43,3,SUN,RTC,DS40SD,40-ft,386.0201071177857,476.57876097088877,656.3868051334829,1.2345956912173777,1.7003953758636738,5.500219686012634,-26.380639208064338,FAILURE,FAILURE,55.35542220316027,SUCCESS,36.3165866663446,SUCCESS,281.18334219671283,353.61235393166635
2162514,601,48,3,SUN,RTC,DS40SD,40-ft,264.163506325071,324.2843477913392,445.81404876640573,1.2275895043287526,1.6876443493970037,32.502775214301565,10.954955892481257,SUCCESS,FAILURE,32.50277521430154,SUCCESS,40.09615347721459,SUCCESS,0.0,164.35635437789597
2162515,601,49,3,SUN,RTC,DS40HF,40-ft,203.2352059287137,248.13714120156442,340.5276705828672,1.2209358121181053,1.6755348514878365,46.00405297844603,29.622753442754046,SUCCESS,SUCCESS,46.00405297844601,SUCCESS,29.622753442754036,SUCCESS,0.0,0.0
2162516,601,17,1,MF,RTC,DS40SD,40-ft,108.39628077939605,119.08125576070732,155.69899493753832,1.0985732619651123,1.4363868743283816,68.88630217008736,62.39379522384073,SUCCESS,SUCCESS,68.88630217008736,SUCCESS,62.39379522384072,SUCCESS,0.0,0.0
2162517,601,46,1,MF,RTC,DS40SD,40-ft,111.018962092342,123.3487816091725,164.4354706339029,1.1110604826820032,1.4811476123973377,68.12964865085593,60.84477471030091,SUCCESS,SUCCESS,68.12964865085596,SUCCESS,60.84477471030091,SUCCESS,0.0,0.0
2162518,601,24,1,MF,RTC,DS40SD,40-ft,57.436324385091105,63.15249122628679,84.57785055035724,1.099521807887126,1.4725498446469414,78.80274978257327,75.00392720738347,SUCCESS,SUCCESS,78.80274978257327,SUCCESS,75.00392720738347,SUCCESS,0.0,0.0
2162545,620,46,2,SAT,RTC,DS40LF,40-ft,468.7251685732346,482.74792939545,614.9280804187554,1.0299168078917111,1.3119160686219429,4.406395497260642,-19.029801492687117,FAILURE,FAILURE,63.974476795237734,SUCCESS,53.28909465541854,SUCCESS,335.96397852059073,407.87857427531605
2162546,620,44,2,SAT,RTC,DS40LF,40-ft,470.6646496675793,487.28650584539434,622.1114781868035,1.035315709793703,1.321772261048685,3.6016833607456875,-20.30345357922048,FAILURE,FAILURE,68.7835647338411,SUCCESS,62.9389483004662,SUCCESS,367.62581094425803,469.4871466014331
2162547,620,41,2,SAT,RTC,DS40LF,40-ft,470.6646496675793,487.28650584539434,622.1114781868035,1.035315709793703,1.321772261048685,3.6016833607456875,-20.30345357922048,FAILURE,FAILURE,64.81255207546488,SUCCESS,61.64962386936716,SUCCESS,345.22929955101614,462.21535681003456
2162548,620,45,2,SAT,RTC,DS40LF,40-ft,358.0897155142601,370.4459021367675,472.7917827595998,1.0345058405398837,1.3203165639108447,24.318102458019954,6.171669723475215,SUCCESS,FAILURE,24.318102458019965,SUCCESS,72.46485059915344,SUCCESS,0.0,373.89354013882536
2162549,620,43,2,SAT,RTC,DS40LF,40-ft,245.51478136094093,253.60529842814057,323.47208733239603,1.032953278911975,1.3175259165225046,45.034521555294226,32.646793026170926,SUCCESS,SUCCESS,45.03452155529424,SUCCESS,32.6467930261709,SUCCESS,0.0,0.0
2162550,620,42,2,SAT,RTC,DS40LF,40-ft,245.51478136094093,253.60529842814057,323.47208733239603,1.032953278911975,1.3175259165225046,45.034521555294226,32.646793026170926,SUCCESS,SUCCESS,45.03452155529424,SUCCESS,32.6467930261709,SUCCESS,0.0,0.0
2162551,620,45,3,SUN,RTC,DS40LF,40-ft,470.6646496675793,487.28650584539434,622.1114781868035,1.035315709793703,1.321772261048685,3.6016833607456875,-20.30345357922048,FAILURE,FAILURE,63.95312054444262,SUCCESS,71.87676870501724,SUCCESS,340.3821057160506,519.896453683101
2162552,620,44,3,SUN,RTC,DS40LF,40-ft,470.6646496675793,487.28650584539434,622.1114781868035,1.035315709793703,1.321772261048685,3.6016833607456875,-20.30345357922048,FAILURE,FAILURE,72.06021077449152,SUCCESS,72.85722768402843,SUCCESS,386.10609461352635,525.4262423247242
2162554,620,46,3,SUN,RTC,DS40LF,40-ft,358.0897155142601,370.4459021367675,472.7917827595998,1.0345058405398837,1.3203165639108447,24.318102458019954,6.171669723475215,SUCCESS,FAILURE,24.318102458019965,SUCCESS,73.84271068308847,SUCCESS,0.0,381.6646710122189
2162555,620,43,3,SUN,RTC,DS40LF,40-ft,470.6646496675793,487.28650584539434,622.1114781868035,1.035315709793703,1.321772261048685,3.6016833607456875,-20.30345357922048,FAILURE,FAILURE,64.56512216957402,SUCCESS,71.27475047823144,SUCCESS,343.8337948817917,516.5010708840291
