block_id,line_group,block_number,service_id,service_day,depot_code,asset_class,asset_class_new,total_distance_km,total_energy_require_medium_kwh,total_energy_require_heavy_kwh,avg_kwh_per_km_medium,avg_kwh_per_km_heavy,soc_left_medium_percent_depot_only,soc_left_heavy_percent_depot_only,medium_success_depot_only,heavy_success_depot_only,soc_left_medium_percent_on_route_charge,medium_success_on_route_charge,soc_left_heavy_percent_on_route_charge,heavy_success_on_route_charge,total_energy_received_medium,total_energy_received_heavy
2161072,210,55,3,SUN,BTC,DS40LF,40-ft,294.37102655767995,475.5852942094525,713.7591253055458,1.6155981781592383,2.4246921772570906,5.676366274919771,-36.55303640169251,FAILURE,FAILURE,38.23673333008442,SUCCESS,-12.303797497655461,FAILURE,183.64047019112857,136.7657074187691
2161073,210,43,3,SUN,BTC,DS40LF,40-ft,371.4291229118468,598.6018352134803,902.4326340277072,1.611617932704619,2.429622714969193,-16.135077165510687,-70.00578617512538,FAILURE,FAILURE,7.903951616807567,FAILURE,-59.35296556466037,FAILURE,135.58012233227498,60.08190824302278
2161074,210,45,3,SUN,BTC,DS40LF,40-ft,294.11678210653776,476.5457971337775,721.5046341239704,1.6202604751780487,2.453122970258189,5.506064337982715,-37.926353568079854,FAILURE,FAILURE,26.768170285431964,SUCCESS,-22.881304618474996,FAILURE,119.91827754361375,84.8540760757715
2161075,240,42,3,SUN,BTC,DS40LF,40-ft,412.5936627501807,633.7667035090939,955.2738421470439,1.53605535112843,2.3152896624237487,-22.369982891683307,-79.37479470692267,FAILURE,FAILURE,31.290759276427377,SUCCESS,-74.1597535212219,FAILURE,302.6465858281442,29.412832287352387
2161078,210,14,1,MF,BTC,DS40LF,40-ft,323.7312085615597,539.4573036173063,815.5995083891185,1.6663741071313016,2.519372512811123,-5.648458088174864,-54.609841912964264,FAILURE,FAILURE,64.35751666495038,SUCCESS,37.17310530014721,SUCCESS,394.8336976076264,517.6558222819491
2161079,210,66,1,MF,BTC,DS40LF,40-ft,54.79196099821848,81.37735448141173,120.14549639197205,1.485206095909903,2.1927577367759934,75.57139104939509,68.6976070227,SUCCESS,SUCCESS,75.57139104939509,SUCCESS,68.6976070227,SUCCESS,0.0,0.0
2161080,210,4,1,MF,BTC,DS40LF,40-ft,274.93261751290083,418.02563548538944,621.3693970464686,1.520465775457778,2.2600788610224165,15.881979523867123,-20.171878908948333,FAILURE,FAILURE,39.18641392428087,SUCCESS,9.385601118445928,FAILURE,131.4370100183333,166.7041873545035
2161081,210,74,1,MF,BTC,DS40LF,40-ft,93.29795348158115,138.32436996503114,203.77844473618117,1.482608833347444,2.1841684316946037,65.47440248846966,53.86907008223738,SUCCESS,SUCCESS,65.47440248846965,SUCCESS,53.86907008223739,SUCCESS,0.0,0.0
2161082,210,81,1,MF,BTC,DS40LF,40-ft,81.19688915974626,122.15518603679769,180.71910402874215,1.504431848324513,2.225689997472643,68.34127907148978,57.95760566866275,SUCCESS,SUCCESS,68.34127907148977,SUCCESS,57.95760566866275,SUCCESS,0.0,0.0
2161083,210,15,1,MF,BTC,DS40LF,40-ft,249.90058590032135,399.0090699195247,598.5934793820364,1.5966712061998876,2.3953264344117997,19.25371100717648,-16.133595635112837,FAILURE,FAILURE,62.17889708608509,SUCCESS,31.666642412953227,SUCCESS,242.09804948504438,269.5933425910925
2161084,210,20,1,MF,BTC,DS40LF,40-ft,244.30219208627503,369.4512520115798,542.8233209714134,1.5122715390171715,2.2219338939853475,24.494458863195074,-6.245269675782515,SUCCESS,FAILURE,51.53197962028058,SUCCESS,38.43560607767681,SUCCESS,152.49161706996222,252.00013924951054
2161085,240,28,1,MF,BTC,DS40LF,40-ft,216.21949719541024,329.49926152142933,486.8086478685764,1.523910959905903,2.251455831610869,31.57814512031395,3.68640995238008,SUCCESS,FAILURE,46.311775341574304,SUCCESS,24.603300758566856,SUCCESS,83.09767444790828,117.97126414689347
2161086,210,84,1,MF,BTC,DS40LF,40-ft,78.43627855544281,114.4569198862763,167.9301453173581,1.4592344511267479,2.140975431396282,69.70621987831981,60.22515153947552,SUCCESS,SUCCESS,69.70621987831981,SUCCESS,60.22515153947552,SUCCESS,0.0,0.0
2161087,210,17,1,MF,BTC,DS40LF,40-ft,220.74202660344088,356.3689869054389,534.4497989705915,1.6144138585157117,2.421151092948517,26.81400941392928,-4.760602654360186,SUCCESS,FAILURE,54.61139631523901,SUCCESS,25.16992281036537,SUCCESS,156.7772621233869,168.80816362105185
2161088,210,13,1,MF,BTC,DS40LF,40-ft,309.9726571024177,461.1685460915713,679.9319298970383,1.4877716970345456,2.193522281135858,8.232527288728502,-30.555306719333036,FAILURE,FAILURE,58.76778942598072,SUCCESS,30.36088130051241,SUCCESS,285.01887845410226,343.5673004319282
2161089,210,23,1,MF,BTC,DS40LF,40-ft,235.0964582967852,373.34724065855306,559.0110122449298,1.5880598260108216,2.377794273443438,23.803680734299107,-9.115427703001737,SUCCESS,FAILURE,52.54059954766031,SUCCESS,26.541649489459584,SUCCESS,162.07622210735707,201.10591536548193
2161091,210,89,1,MF,BTC,DS40LF,40-ft,103.58887588264454,148.8731773636532,217.02871101745842,1.4371540968579588,2.095096690336996,63.60404656672816,51.51973208910312,SUCCESS,SUCCESS,63.60404656672816,SUCCESS,61.438161758717705,SUCCESS,0.0,55.9399433366263
2161092,210,51,1,MF,BTC,DS40LF,40-ft,82.75129676403486,126.66833207159112,186.41472146055415,1.5307111432076477,2.2527105767552538,67.54107587383137,56.94774442188757,SUCCESS,SUCCESS,67.54107587383136,SUCCESS,60.91426797891898,SUCCESS,0.0,22.37119286165722
2161094,210,6,1,MF,BTC,DS40LF,40-ft,232.83016633757268,371.35588317456023,557.9439284219645,1.5949646431817763,2.3963558382422847,24.15675830238294,-8.926228443610729,SUCCESS,FAILURE,55.56559729721444,SUCCESS,34.15479860305397,SUCCESS,177.14585193084974,242.976992543189
2161095,210,24,1,MF,BTC,DS40LF,40-ft,204.65642775999578,319.6997358039504,471.818602634761,1.5621289753912246,2.305417952413745,33.31564968015064,6.344219390999823,SUCCESS,FAILURE,55.34855402685215,SUCCESS,35.286926684235404,SUCCESS,124.26558051539655,163.2368691338487
