dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,charge_kwh,charge_duration_sec,block_id,mode,stop_code,candidate_name,event_type,start_sec,end_sec
24.5,82.51426105904969,465.38043237304026,drive,42.21956762695975,0.0,0.0,0.0,2159346,heavy,,,,,
35.0,79.33219577179914,447.4335841529472,drive,60.16641584705283,0.0,0.0,0.0,2159346,heavy,,,,,
48.0,76.01115829273313,428.70293277101484,drive,78.89706722898515,0.0,0.0,0.0,2159346,heavy,,,,,
66.0,71.19082546393801,401.51625561661047,drive,106.08374438338959,0.0,0.0,0.0,2159346,heavy,,,,,
73.5,69.10798675739028,389.7690453116812,drive,117.83095468831877,0.0,0.0,0.0,2159346,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159696,heavy,,,,,
4.5,89.28384898138012,503.5609082549839,drive,4.039091745016162,0.0,0.0,0.0,2159696,heavy,,,,,
13.0,86.0702148825998,485.4360119378628,drive,22.163988062137232,0.0,0.0,0.0,2159696,heavy,,,,,
25.5,82.39310325999399,464.69710238636605,drive,42.90289761363394,0.0,0.0,0.0,2159696,heavy,,,,,
38.0,79.06195099687646,445.90940362238325,drive,61.6905963776168,0.0,0.0,0.0,2159696,heavy,,,,,
47.5,75.82469838149083,427.65129887160833,drive,79.94870112839172,0.0,0.0,0.0,2159696,heavy,,,,,
60.0,72.61106428271052,409.5264025544872,drive,98.07359744551279,0.0,0.0,0.0,2159696,heavy,,,,,
73.5,68.93395266010471,388.7874930029905,drive,118.81250699700949,0.0,0.0,0.0,2159696,heavy,,,,,
89.0,65.60280039698718,369.99979423900766,drive,137.60020576099234,0.0,0.0,0.0,2159696,heavy,,,,,
101.5,62.36554778160156,351.74168948823274,drive,155.85831051176726,0.0,0.0,0.0,2159696,heavy,,,,,
101.5,66.7296933290057,376.3554703755921,charge,155.85831051176726,24.613780887359383,24.613780887359383,360.0,2159696,heavy,61338,Marine Drive Station,in_service_layover,33090.0,33450.0
115.5,63.51605923022537,358.23057405847106,drive,173.98320682888834,24.613780887359383,0.0,0.0,2159696,heavy,,,,,
130.5,59.83894760761957,337.49166450697436,drive,194.72211638038505,24.613780887359383,0.0,0.0,2159696,heavy,,,,,
146.0,56.50779534450206,318.7039657429915,drive,213.5098151443679,24.613780887359383,0.0,0.0,2159696,heavy,,,,,
158.5,53.27054272911642,300.4458609922166,drive,231.76791989514282,24.613780887359383,0.0,0.0,2159696,heavy,,,,,
158.5,58.78283378063757,331.5351825227958,charge,231.76791989514282,55.703102417938624,31.08932153057924,420.0,2159696,heavy,61338,Marine Drive Station,in_service_layover,41190.0,41610.0
172.5,55.56919968185724,313.41028620567477,drive,249.89281621226388,55.703102417938624,0.0,0.0,2159696,heavy,,,,,
188.5,51.89208805925144,292.67137665417806,drive,270.6317257637606,55.703102417938624,0.0,0.0,2159696,heavy,,,,,
205.0,48.56093579613391,273.8836778901952,drive,289.41942452774344,55.703102417938624,0.0,0.0,2159696,heavy,,,,,
218.0,45.32368318074829,255.62557313942028,drive,307.67752927851836,55.703102417938624,0.0,0.0,2159696,heavy,,,,,
218.0,56.98066698428074,321.3709617913433,charge,307.67752927851836,121.44849106986163,65.74538865192301,900.0,2159696,heavy,61338,Marine Drive Station,in_service_layover,49410.0,50310.0
232.5,53.76703288550041,303.24606547422223,drive,325.8024255956394,121.44849106986163,0.0,0.0,2159696,heavy,,,,,
249.0,50.08992126289461,282.50715592272553,drive,346.5413351471361,121.44849106986163,0.0,0.0,2159696,heavy,,,,,
266.0,46.758768999777075,263.71945715874267,drive,365.329033911119,121.44849106986163,0.0,0.0,2159696,heavy,,,,,
281.5,43.521516384391454,245.46135240796775,drive,383.5871386618939,121.44849106986163,0.0,0.0,2159696,heavy,,,,,
281.5,48.863049674280006,275.58760016293917,charge,383.5871386618939,151.57473882483305,30.126247754971416,420.0,2159696,heavy,61338,Marine Drive Station,in_service_layover,58590.0,59010.0
297.0,45.649415575499674,257.4627038458181,drive,401.71203497901496,151.57473882483305,0.0,0.0,2159696,heavy,,,,,
314.5,41.972303952893874,236.7237942943214,drive,422.45094453051166,151.57473882483305,0.0,0.0,2159696,heavy,,,,,
332.0,38.64115168977635,217.93609553033855,drive,441.2386432944945,151.57473882483305,0.0,0.0,2159696,heavy,,,,,
346.0,35.40389907439073,199.67799077956363,drive,459.49674804526944,151.57473882483305,0.0,0.0,2159696,heavy,,,,,
351.0,34.8569036577588,196.59293662975955,drive,462.5818021950735,151.57473882483305,0.0,0.0,2159696,heavy,,,,,
0.0,90.0,507.6,start,0.0,0.0,0.0,0.0,2159698,heavy,,,,,
4.5,89.28384898138012,503.5609082549839,drive,4.039091745016162,0.0,0.0,0.0,2159698,heavy,,,,,
16.0,86.0702148825998,485.4360119378628,drive,22.163988062137232,0.0,0.0,0.0,2159698,heavy,,,,,
28.5,82.39310325999399,464.69710238636605,drive,42.90289761363394,0.0,0.0,0.0,2159698,heavy,,,,,
42.0,79.06195099687646,445.90940362238325,drive,61.6905963776168,0.0,0.0,0.0,2159698,heavy,,,,,
