dist_km,soc_pct,net_energy_kwh,phase,cum_used_kwh,cum_charged_kwh,stop_code,charge_kwh,charge_duration_sec,candidate_name,event_type,start_sec,end_sec,block_id,mode
356.0,55.85333336405455,315.01280017326764,drive,302.83910001497986,110.25190018824748,,0.0,0.0,,,,,2159699,medium
371.5,53.74845272947456,303.1412733942365,drive,314.710626794011,110.25190018824748,,0.0,0.0,,,,,2159699,medium
384.5,51.68304634360891,291.49238137795425,drive,326.35951881029325,110.25190018824748,,0.0,0.0,,,,,2159699,medium
388.5,51.32863165899789,289.4934825567481,drive,328.3584176314994,110.25190018824748,,0.0,0.0,,,,,2159699,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159731,medium
14.5,86.87938159679172,489.99971220590527,drive,17.600287794094736,0.0,,0.0,0.0,,,,,2159731,medium
31.0,83.82749911340044,472.78709499957847,drive,34.81290500042154,0.0,,0.0,0.0,,,,,2159731,medium
38.5,82.49207114709169,465.25528126959716,drive,42.34471873040283,0.0,,0.0,0.0,,,,,2159731,medium
46.0,81.18997701050753,457.91147033926245,drive,49.68852966073756,0.0,,0.0,0.0,,,,,2159731,medium
64.0,77.9344694894246,439.5504079203548,drive,68.0495920796452,0.0,,0.0,0.0,,,,,2159731,medium
75.5,76.26712926646513,430.1466090628633,drive,77.45339093713669,0.0,,0.0,0.0,,,,,2159731,medium
87.5,74.07220774420638,417.767251677324,drive,89.83274832267601,0.0,,0.0,0.0,,,,,2159731,medium
104.0,71.02032526081511,400.5546344709972,drive,107.04536552900281,0.0,,0.0,0.0,,,,,2159731,medium
124.0,68.77017867251033,387.86380771295825,drive,119.73619228704177,0.0,,0.0,0.0,,,,,2159731,medium
0.0,90.0,507.6,start,0.0,0.0,,0.0,0.0,,,,,2159900,medium
19.0,87.32925302639501,492.53698706886786,drive,15.06301293113217,0.0,,0.0,0.0,,,,,2159900,medium
44.5,83.53756843051563,471.15188594810814,drive,36.44811405189188,0.0,,0.0,0.0,,,,,2159900,medium
73.0,78.90623767700276,445.0311804982956,drive,62.56881950170438,0.0,,0.0,0.0,,,,,2159900,medium
101.5,75.20129112592107,424.13528195019495,drive,83.46471804980509,0.0,,0.0,0.0,,,,,2159900,medium
124.5,71.45371867383976,402.9989733204563,drive,104.60102667954372,0.0,,0.0,0.0,,,,,2159900,medium
146.5,67.74877212275807,382.1030747723556,drive,125.49692522764443,0.0,,0.0,0.0,,,,,2159900,medium
165.0,64.02237750346849,361.08620911956245,drive,146.51379088043757,0.0,,0.0,0.0,,,,,2159900,medium
185.5,60.31743095238681,340.19031057146174,drive,167.4096894285383,0.0,,0.0,0.0,,,,,2159900,medium
203.0,56.59103633309724,319.17344491866857,drive,188.42655508133143,0.0,,0.0,0.0,,,,,2159900,medium
222.5,52.88608978201555,298.27754637056785,drive,209.32245362943215,0.0,,0.0,0.0,,,,,2159900,medium
239.0,49.15969516272599,277.26068071777473,drive,230.3393192822253,0.0,,0.0,0.0,,,,,2159900,medium
